Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,84.949997,85.849998,84.150002,85.269997,84.510010,7103300
2020-09-14,85.750000,87.059998,85.639999,86.629997,85.857887,5535800
2020-09-15,87.180000,88.250000,87.169998,87.709999,86.928261,8361900
2020-09-16,88.000000,89.430000,87.750000,88.379997,87.592293,7146400
2020-09-17,87.050003,87.320000,85.360001,86.750000,85.976814,7386600
2020-09-18,86.809998,87.239998,84.599998,84.949997,84.192863,10113400
2020-09-21,82.860001,83.949997,81.750000,83.889999,83.142311,7188800
2020-09-22,84.050003,84.389999,83.180000,83.949997,83.201767,4465000
2020-09-23,84.379997,84.900002,82.820000,82.989998,82.250328,6414700
2020-09-24,82.629997,84.139999,81.919998,83.040001,82.299889,4881500
2020-09-25,82.529999,84.690002,82.220001,84.300003,83.548660,5981500
2020-09-28,85.519997,86.239998,84.989998,86.070000,85.302879,5976200
2020-09-29,86.250000,86.250000,84.629997,84.800003,84.044205,4064000
2020-09-30,86.629997,87.160004,85.470001,85.919998,85.154221,10134400
2020-10-01,87.040001,87.449997,86.199997,86.739998,85.966904,7241200
2020-10-02,85.150002,87.129997,85.089996,86.570000,85.798424,5602300
2020-10-05,87.269997,88.680000,87.199997,88.470001,87.681488,7004800
2020-10-06,88.650002,89.279999,86.800003,87.010002,86.234505,7951100
2020-10-07,87.820000,88.980003,87.440002,88.449997,87.661667,5179300
2020-10-08,88.459999,89.610001,88.410004,89.529999,88.732040,4958800
2020-10-09,89.800003,90.330002,89.580002,90.010002,89.207764,6197700
2020-10-12,90.459999,91.099998,89.930000,90.779999,89.970894,5909100
2020-10-13,90.580002,90.849998,89.769997,90.160004,89.356430,5732000
2020-10-14,90.169998,90.599998,88.559998,89.309998,88.514000,4763300
2020-10-15,88.160004,88.870003,87.669998,88.830002,88.038284,5002200
2020-10-16,89.389999,89.629997,88.440002,88.519997,87.731041,4721300
2020-10-19,88.699997,89.570000,87.360001,87.599998,86.819237,5426600
2020-10-20,88.680000,89.720001,88.040001,88.510002,87.721138,4939700
2020-10-21,88.379997,89.160004,88.190002,88.269997,87.483269,4119200
2020-10-22,88.019997,89.379997,87.699997,89.360001,88.563553,4257800
2020-10-23,89.800003,90.959999,89.440002,90.800003,89.990723,7811500
2020-10-26,90.029999,91.129997,88.650002,89.660004,88.860893,7756400
2020-10-27,89.480003,90.349998,89.169998,90.050003,89.247414,8027500
2020-10-28,88.650002,88.949997,86.610001,87.169998,86.393074,12738800
2020-10-29,87.169998,89.110001,86.610001,88.300003,87.513008,8440000
2020-10-30,87.750000,88.389999,85.629997,86.959999,86.184944,11400700
2020-11-02,87.540001,87.769997,85.449997,85.970001,85.203773,8904900
2020-11-03,86.779999,89.059998,86.180000,88.389999,87.602196,6910400
2020-11-04,88.900002,91.290001,88.739998,89.790001,88.989723,10509400
2020-11-05,90.690002,91.160004,89.900002,90.620003,89.812325,6169700
2020-11-06,90.150002,91.199997,89.779999,90.650002,89.842056,6626100
2020-11-09,97.320000,97.650002,95.639999,95.879997,95.025436,16225800
2020-11-10,93.739998,95.269997,93.139999,93.919998,93.521843,10474700
2020-11-11,94.110001,95.830002,94.019997,95.040001,94.637100,8296500
2020-11-12,94.660004,94.760002,92.660004,93.529999,93.133499,7058400
2020-11-13,94.379997,95.589996,93.699997,95.559998,95.154892,5516100
2020-11-16,96.790001,97.809998,96.019997,97.779999,97.365486,9371300
2020-11-17,97.209999,98.779999,96.809998,98.599998,98.182007,8722300
2020-11-18,98.629997,99.330002,97.910004,97.910004,97.494934,6039500
2020-11-19,97.239998,97.919998,96.860001,97.760002,97.345573,4252300
2020-11-20,97.419998,97.540001,96.949997,97.010002,96.598755,4609700
2020-11-23,97.620003,97.860001,96.419998,96.879997,96.469299,4803200
2020-11-24,97.510002,98.720001,97.400002,98.300003,97.883286,6319900
2020-11-25,98.500000,98.540001,97.940002,98.199997,97.783699,4027100
2020-11-27,98.480003,98.980003,98.279999,98.660004,98.241760,2169700
